2026-01-08 12:31:45,171 - BMS ACTION EXECUTED | Zone: T1 | Action: OPTIMIZE_INCREMENTALLY
2026-01-08 12:31:48,231 - BMS ACTION EXECUTED | Zone: T1 | Action: OPTIMIZE_INCREMENTALLY
2026-01-08 12:31:51,253 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:31:54,285 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:31:57,310 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:00,380 - BMS ACTION EXECUTED | Zone: T1 | Action: OPTIMIZE_INCREMENTALLY
2026-01-08 12:32:03,407 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:06,449 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:09,472 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:12,541 - BMS ACTION EXECUTED | Zone: T1 | Action: OPTIMIZE_INCREMENTALLY
2026-01-08 12:32:15,561 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:18,585 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:21,606 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:24,676 - BMS ACTION EXECUTED | Zone: T1 | Action: OPTIMIZE_INCREMENTALLY
2026-01-08 12:32:27,697 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:32:51,851 - BMS ACTION EXECUTED | Zone: T1 | Action: OPTIMIZE_INCREMENTALLY
2026-01-08 12:32:54,930 - BMS ACTION EXECUTED | Zone: T1 | Action: OPTIMIZE_INCREMENTALLY
2026-01-08 12:32:57,952 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
2026-01-08 12:33:01,038 - FALLBACK ACTIVATED | Zone: T1 | Reason: Safety constraint violation
